epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3023.1,0.62247,0.42552,0.94638,0.89512,0.87773,0.91211,0.71397,0.83111,0.55105,1.05495,0.000217339,0.000217339,0.000217339
67,3066.44,0.61869,0.42257,0.94543,0.90136,0.87862,0.91376,0.71616,0.82947,0.5446,1.05431,0.000203591,0.000203591,0.000203591
68,3108.78,0.61591,0.42234,0.94399,0.92012,0.84788,0.9101,0.71264,0.83237,0.54109,1.06124,0.000189842,0.000189842,0.000189842
69,3152.32,0.61812,0.41483,0.94585,0.9144,0.86539,0.91528,0.71475,0.83817,0.55178,1.06373,0.000176094,0.000176094,0.000176094
70,3195.34,0.61886,0.41993,0.94186,0.89698,0.8741,0.91369,0.71612,0.82715,0.5563,1.05973,0.000162345,0.000162345,0.000162345
71,3239.88,0.54879,0.34125,0.88656,0.92037,0.86437,0.91775,0.71267,0.83978,0.54992,1.06658,0.000148596,0.000148596,0.000148596
72,3285.14,0.53597,0.33287,0.88331,0.91344,0.86254,0.91772,0.71487,0.84156,0.55105,1.06238,0.000134848,0.000134848,0.000134848
73,3326.93,0.52099,0.32076,0.876,0.90651,0.86593,0.91744,0.71628,0.84534,0.56012,1.06912,0.000121099,0.000121099,0.000121099
74,3368.14,0.51828,0.31909,0.87762,0.90955,0.86072,0.91645,0.71736,0.83925,0.55579,1.06544,0.00010735,0.00010735,0.00010735
75,3410.35,0.51174,0.31326,0.87541,0.91862,0.86489,0.92078,0.72133,0.83364,0.55,1.06347,9.36017e-05,9.36017e-05,9.36017e-05
76,3452.18,0.5072,0.31208,0.86801,0.91217,0.86601,0.92159,0.72179,0.831,0.54056,1.05978,7.98531e-05,7.98531e-05,7.98531e-05
77,3494.15,0.49767,0.30585,0.86341,0.90593,0.86665,0.91922,0.72208,0.83541,0.55103,1.06016,6.61045e-05,6.61045e-05,6.61045e-05
78,3536.21,0.49564,0.3023,0.86519,0.91098,0.86048,0.9146,0.72317,0.83646,0.56292,1.06795,5.23559e-05,5.23559e-05,5.23559e-05
79,3578.2,0.48772,0.29909,0.86466,0.90969,0.86254,0.91564,0.72079,0.83686,0.55781,1.06625,3.86073e-05,3.86073e-05,3.86073e-05
80,3619.49,0.48904,0.30085,0.86348,0.89568,0.8741,0.91637,0.7224,0.83522,0.55729,1.06603,2.48586e-05,2.48586e-05,2.48586e-05
