epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2272.65,0.54294,0.95518,0.49245,0.9748,0.84055,0.60758,0.65694,0.45129,0.86673,0.62758,0.70056,0.42903,1.19943,2.95409,1.31491,1.51403,0.000544776,0.000544776,0.000544776
70,2305.2,0.54233,0.93649,0.49718,0.9712,0.68916,0.68111,0.66212,0.46973,0.71099,0.70111,0.69513,0.44398,1.22604,2.8447,1.26734,1.55503,0.000528272,0.000528272,0.000528272
71,2337.92,0.55227,0.9471,0.5013,0.98216,0.92118,0.54637,0.64289,0.45599,0.95092,0.56637,0.68262,0.43349,1.18121,2.76975,1.22282,1.54961,0.000511769,0.000511769,0.000511769
72,2370.83,0.49856,0.93113,0.47354,0.96127,0.75294,0.65892,0.65404,0.46833,0.77625,0.67712,0.69066,0.4436,1.19208,2.67091,1.24572,1.52619,0.000495266,0.000495266,0.000495266
73,2403.35,0.51378,0.86969,0.46907,0.95597,0.81274,0.60902,0.66414,0.48896,0.84026,0.62902,0.7012,0.45282,1.13739,2.82405,1.27915,1.48248,0.000478762,0.000478762,0.000478762
74,2435.84,0.49774,0.90471,0.47142,0.96497,0.88976,0.66123,0.6687,0.4773,0.91429,0.68123,0.70802,0.43894,1.22709,2.88199,1.24854,1.58006,0.000462259,0.000462259,0.000462259
75,2468.4,0.52009,0.87193,0.46264,0.9741,0.72474,0.69126,0.6507,0.45168,0.8499,0.62486,0.69152,0.43491,1.20043,2.84443,1.23445,1.56055,0.000445756,0.000445756,0.000445756
76,2501.2,0.50105,0.82235,0.45888,0.96886,0.85737,0.57591,0.62693,0.44492,0.92854,0.62256,0.68458,0.4438,1.26269,2.92495,1.41812,1.60679,0.000429253,0.000429253,0.000429253
77,2533.75,0.53092,0.89411,0.46283,0.9748,0.93727,0.55392,0.63891,0.44689,0.96862,0.57344,0.69397,0.44251,1.21775,2.86942,1.35956,1.58566,0.000412749,0.000412749,0.000412749
78,2566.24,0.51534,0.86756,0.44994,0.96958,0.84394,0.56556,0.64856,0.45657,0.78205,0.70111,0.70843,0.4443,1.2193,2.80736,1.46733,1.55725,0.000396246,0.000396246,0.000396246
79,2598.87,0.48341,0.85168,0.43597,0.95287,0.91627,0.53,0.60743,0.44239,0.8375,0.66984,0.69729,0.43051,1.29011,3.18421,1.29631,1.60955,0.000379743,0.000379743,0.000379743
80,2631.54,0.48014,0.83876,0.42998,0.95663,0.90842,0.57778,0.66583,0.45964,0.90271,0.67207,0.731,0.44656,1.24228,3.5517,1.12394,1.59838,0.000363239,0.000363239,0.000363239
81,2664.01,0.44883,0.84876,0.43195,0.94849,0.86056,0.63186,0.68244,0.49626,0.8641,0.65333,0.73178,0.46469,1.21307,3.60514,1.11195,1.60156,0.000346736,0.000346736,0.000346736
82,2696.64,0.48734,0.86915,0.41986,0.95198,0.86508,0.65333,0.67285,0.48514,0.89115,0.67333,0.72347,0.46514,1.21697,3.31865,1.20548,1.58915,0.000330233,0.000330233,0.000330233
83,2729.32,0.4811,0.84396,0.40656,0.95044,0.84926,0.65333,0.67086,0.48801,0.87575,0.67333,0.71636,0.46073,1.21688,3.13817,1.25021,1.57707,0.000313729,0.000313729,0.000313729
84,2761.92,0.46768,0.77092,0.42708,0.95266,0.8734,0.64869,0.68807,0.48453,0.89918,0.66869,0.71273,0.46693,1.16084,2.9219,1.30593,1.537,0.000297226,0.000297226,0.000297226
85,2794.43,0.46944,0.82854,0.40466,0.93941,0.86166,0.65333,0.68975,0.49606,0.86166,0.65333,0.6906,0.47862,1.15611,2.91538,1.22925,1.49812,0.000280723,0.000280723,0.000280723
86,2827.03,0.45232,0.77753,0.40064,0.93527,0.85881,0.65333,0.70235,0.49515,0.8854,0.67333,0.72022,0.47218,1.1822,3.00389,1.2069,1.53082,0.00026422,0.00026422,0.00026422
87,2859.52,0.41384,0.75574,0.35671,0.92137,0.86557,0.66111,0.72391,0.52562,0.89446,0.68111,0.7435,0.4872,1.17045,3.05049,1.09189,1.53511,0.000247716,0.000247716,0.000247716
88,2892.79,0.46388,0.79324,0.417,0.94488,0.81161,0.71502,0.72124,0.52884,0.81161,0.71502,0.72124,0.48213,1.16345,3.12595,1.13113,1.52516,0.000231213,0.000231213,0.000231213
89,2925.42,0.44701,0.76531,0.38766,0.9513,0.80159,0.70316,0.72182,0.52173,0.82388,0.72316,0.74974,0.48242,1.12368,3.24772,1.05296,1.51144,0.00021471,0.00021471,0.00021471
90,2958.06,0.44535,0.75847,0.39873,0.92991,0.89772,0.66111,0.70637,0.49251,0.92487,0.68111,0.74482,0.47542,1.11429,3.12643,1.09425,1.49703,0.000198206,0.000198206,0.000198206
91,2991.46,0.38445,0.70767,0.3684,0.92684,0.88545,0.66553,0.69485,0.48479,0.91056,0.68517,0.7231,0.4685,1.20367,3.22111,1.11456,1.60905,0.000181703,0.000181703,0.000181703
92,3024.6,0.38369,0.66869,0.35644,0.91289,0.83527,0.64556,0.67858,0.49273,0.86232,0.66556,0.71286,0.47545,1.17459,3.31129,1.15291,1.58918,0.0001652,0.0001652,0.0001652
93,3057.12,0.38028,0.66103,0.33607,0.92155,0.93046,0.61336,0.70089,0.50192,0.95958,0.63329,0.73009,0.48413,1.19014,3.34315,1.11083,1.57704,0.000148696,0.000148696,0.000148696
94,3089.78,0.40272,0.69363,0.36285,0.94758,0.87343,0.67333,0.72399,0.52174,0.89834,0.69333,0.7529,0.49354,1.1701,3.40439,1.11124,1.56913,0.000132193,0.000132193,0.000132193
95,3122.98,0.3656,0.66555,0.32597,0.92871,0.83745,0.7081,0.72737,0.52352,0.86411,0.72675,0.75969,0.49397,1.17368,3.43057,1.10441,1.57957,0.00011569,0.00011569,0.00011569
96,3156.29,0.36756,0.66396,0.32304,0.92189,0.84629,0.70889,0.72856,0.52809,0.87236,0.72889,0.76223,0.50148,1.16266,3.47245,1.08239,1.58428,9.91865e-05,9.91865e-05,9.91865e-05
97,3189.37,0.35843,0.6642,0.32031,0.90252,0.85904,0.69942,0.71455,0.52536,0.88547,0.71942,0.75189,0.49587,1.14124,3.51679,1.08178,1.57628,8.26832e-05,8.26832e-05,8.26832e-05
98,3221.91,0.34849,0.62781,0.30808,0.9018,0.88815,0.67064,0.71503,0.53037,0.91471,0.69064,0.74836,0.49399,1.14187,3.46233,1.0771,1.56873,6.61799e-05,6.61799e-05,6.61799e-05
99,3254.25,0.33714,0.63605,0.30424,0.89048,0.89444,0.62556,0.71536,0.54532,0.92173,0.64556,0.74567,0.49401,1.12296,3.46325,1.05131,1.56123,4.96766e-05,4.96766e-05,4.96766e-05
100,3287.34,0.34639,0.61859,0.31754,0.90377,0.9188,0.62556,0.71099,0.53529,0.94609,0.64556,0.75059,0.49625,1.11225,3.41322,1.03878,1.55958,3.31733e-05,3.31733e-05,3.31733e-05
