epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,295.153,0.69713,1.15226,0.67923,0.9534,0.85167,0.56496,0.67262,0.48941,0.87398,0.58475,0.68478,0.45268,1.10789,2.11113,1.39873,1.16797,0.000858338,0.000858338,0.000858338
51,300.96,0.70502,1.18549,0.6536,0.94162,0.77354,0.69538,0.72865,0.52408,0.77354,0.69538,0.73358,0.48673,1.09597,2.15344,1.11734,1.1268,0.000841835,0.000841835,0.000841835
52,306.809,0.69025,1.13765,0.65483,0.93242,0.82447,0.70889,0.76913,0.55403,0.84754,0.72889,0.78297,0.50812,1.07718,1.99066,0.9732,1.10508,0.000825332,0.000825332,0.000825332
53,312.549,0.63544,1.1332,0.60169,0.93208,0.88081,0.66258,0.73477,0.50328,0.88081,0.66258,0.73507,0.45864,1.14308,2.11892,1.11625,1.16948,0.000808828,0.000808828,0.000808828
54,318.378,0.67737,1.11171,0.63822,0.94839,0.77624,0.74889,0.74691,0.48996,0.79392,0.76889,0.76957,0.46851,1.20641,2.12679,1.01759,1.23432,0.000792325,0.000792325,0.000792325
55,324.113,0.66667,1.14245,0.64931,0.92825,0.79406,0.59,0.68622,0.45665,0.83782,0.59,0.73688,0.44346,1.24203,2.10383,1.24251,1.23786,0.000775822,0.000775822,0.000775822
56,329.983,0.65836,1.14807,0.62429,0.93693,0.84634,0.61778,0.71813,0.51909,0.7468,0.70111,0.71677,0.48387,1.12431,2.11297,1.16236,1.20763,0.000759318,0.000759318,0.000759318
57,335.711,0.67747,1.10902,0.60593,0.94382,0.88253,0.64133,0.73888,0.53077,0.88253,0.64133,0.72661,0.48848,1.11751,2.06674,1.03626,1.18964,0.000742815,0.000742815,0.000742815
58,341.519,0.657,1.06397,0.60167,0.92649,0.82962,0.70111,0.74487,0.52455,0.8523,0.66692,0.73941,0.47554,1.12093,2.46577,1.02181,1.16897,0.000726312,0.000726312,0.000726312
59,347.331,0.65733,1.11781,0.62003,0.92667,0.89505,0.64286,0.75528,0.54457,0.89739,0.69333,0.79391,0.49087,1.16551,2.6564,1.04827,1.2581,0.000709809,0.000709809,0.000709809
60,353.116,0.66068,1.08105,0.59537,0.9246,0.84218,0.65333,0.6989,0.50216,0.84218,0.65333,0.72077,0.4583,1.12858,2.66145,1.16383,1.23897,0.000693305,0.000693305,0.000693305
61,358.922,0.63724,1.09031,0.60394,0.93737,0.85751,0.57,0.65395,0.46466,0.89156,0.6332,0.73889,0.44077,1.25607,2.94951,1.11308,1.34542,0.000676802,0.000676802,0.000676802
62,364.706,0.63364,1.06615,0.5908,0.93371,0.8145,0.66111,0.70754,0.49025,0.87205,0.63963,0.72106,0.45496,1.16661,2.74049,1.20471,1.36641,0.000660299,0.000660299,0.000660299
63,370.514,0.61793,1.02443,0.55648,0.92976,0.81337,0.68512,0.73275,0.5195,0.81337,0.68512,0.73326,0.46688,1.162,2.6695,1.27908,1.29507,0.000643795,0.000643795,0.000643795
64,376.354,0.61542,1.03135,0.56551,0.922,0.89634,0.57025,0.70529,0.47305,0.89634,0.57025,0.72138,0.4497,1.2233,2.76953,1.2406,1.32428,0.000627292,0.000627292,0.000627292
65,382.129,0.59782,1.06454,0.5383,0.90307,0.89368,0.55,0.694,0.49049,0.91472,0.57,0.72319,0.46352,1.21656,2.78875,1.14893,1.3046,0.000610789,0.000610789,0.000610789
66,388.099,0.64156,1.08705,0.56634,0.9238,0.87893,0.58954,0.70186,0.50917,0.8189,0.68365,0.75775,0.47617,1.17509,2.42882,1.20803,1.2758,0.000594286,0.000594286,0.000594286
67,393.865,0.60217,1.04125,0.55105,0.907,0.86193,0.57778,0.66981,0.49781,0.86193,0.57778,0.67679,0.45069,1.17841,2.4274,1.17011,1.25579,0.000577782,0.000577782,0.000577782
68,399.745,0.59547,0.99731,0.54787,0.89683,0.6446,0.7235,0.67479,0.46291,0.67114,0.76222,0.74102,0.45184,1.27592,2.46694,1.1508,1.31206,0.000561279,0.000561279,0.000561279
69,405.536,0.60865,1.01912,0.54355,0.909,0.73663,0.62556,0.66697,0.46503,0.76037,0.66804,0.70159,0.45162,1.23014,2.43307,1.06678,1.27366,0.000544776,0.000544776,0.000544776
70,411.257,0.58147,1.02023,0.52786,0.90574,0.89804,0.59634,0.66161,0.47225,0.94809,0.63608,0.72797,0.45714,1.19968,2.33233,1.14242,1.25652,0.000528272,0.000528272,0.000528272
71,417.054,0.58239,1.00846,0.54535,0.903,0.89515,0.56486,0.69471,0.48164,0.79089,0.67333,0.72237,0.46209,1.15367,2.3253,1.16423,1.24252,0.000511769,0.000511769,0.000511769
72,422.867,0.53714,1.05993,0.51035,0.88879,0.88858,0.70889,0.74846,0.52447,0.88858,0.70889,0.7623,0.49103,1.13674,2.27412,1.03417,1.21836,0.000495266,0.000495266,0.000495266
73,428.673,0.5567,0.96414,0.51202,0.89098,0.74668,0.72889,0.72934,0.51751,0.74668,0.72889,0.73548,0.48385,1.08536,2.28566,1.02836,1.17304,0.000478762,0.000478762,0.000478762
